"PRODUCT_CODE","PRODUCT_NAME","EGL_DEPARTMENT","EGL_TRANSIT"
KS30,ScotiaLine - IMA - RE Secured,10010,"00002"
KS59,VISA Classic - Scotia Momentum VISA-Infinite,10210,"00002"
KS79,VISA Classic - Student Line,10210,"00002"
KS123,ScotiaLine Visa - Regular,10010,"00002"
KS61,VISA Classic - Scotia Momentum VISA-Infinite > $125K,10210,"00002"
S01,Direct Auto,10010,"00002"
M14,Mortgage BNS Guaranty Bulk Insured,10010,"00002"
KS57,VISA Classic - Corporate Credit > $125K,10210,"00002"
M21,Mortgage Tangerine Genworth Bulk Insured,10910,"00002"
KS132,VISA Value - Visa Value-No Fee - RE Secured >$125K,10210,"00002"
M07,Mortgage BNS Genworth Individual Insured,10010,"00002"
KS35,ScotiaLine - Regular > $125K,10010,"00002"
M18,Mortgage Tangerine CMHC Individual Insured,10910,"00002"
M05,Mortgage BNS Genworth Individual Insured,10010,"00002"
KS22,ScotiaLine - Cash Secured - RE Secured,10010,"00002"
KS27,ScotiaLine - Investment Lending > $125K,10010,"00002"
S12,Indirect Leisure,15110,"00002"
KS84,VISA Classic - Scene-Student - RE Secured,10210,"00002"
KS90,VISA Classic - Visa Classic-Staff - RE Secured >$125K,10210,"00002"
KS71,VISA Classic - Visa Classic-Regular,10210,"00002"
M12,Mortgage BNS Genworth Bulk Insured,10010,"00002"
KS31,ScotiaLine - IMA > $125K,10010,"00002"
KS66,VISA Classic - Visa Classic-No Fee - RE Secured >$125K,10210,"00002"
KS89,VISA Classic - Visa Classic-Staff > $125K,10210,"00002"
KS17,AMEX - Scotiabank Standard AMEX Staff,10211,"00002"
KS108,VISA Gold - Private Banking - RE Secured,17510,"00002"
KS113,VISA Gold - Visa Gold-Regular >$125K,10210,"00002"
S05,Direct - Real Estate,10010,"00002"
KS86,VISA Classic - Scene-Student - RE Secured >$125K,10210,"00002"
M25,Mortgage Tangerine Guaranty Bulk Insured,10910,"00002"
KS83,VISA Classic - Scene-Student,10210,"00002"
