"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","TRANSACTOR_F","CMHC_F","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17350,"1410","0502",0.08483515,0.11911781,"8.4835%","11.9118%",Mortgage,PD Band 10,"10","10",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17352,"1410","0504",0.05698041,0.10054581,"5.6980%","10.0546%",Total QRRE,PD Band 10,"10","10",N,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17234,"1410","0507",0.03843415,0.07924734,"3.8434%","7.9247%",Other Retail,PD Band 10,"10","10",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17181,"1410","0512",,,,,Residential Mortgage - Non-Insured,PD Band 10,"10","10",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17235,"1411","0502",0.11911782,0.25584425,"11.9118%","25.5844%",Mortgage,PD Band 11,"11","11",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17689,"1411","0504",0.03887451,0.06016992,"3.8874%","6.0169%",Total QRRE,PD Band 11,"11","11",N,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17360,"1411","0507",0.07924736,0.08787348,"7.9247%","8.7873%",Other Retail,PD Band 11,"11","11",,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17165,"1411","0511",,,,,Residential Mortgage - Other Insured,PD Band 11,"11","11",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17477,"1412","0504",0.13104883,0.20774521,"13.1048%","20.7745%",Total QRRE,PD Band 12,"12","12",N,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17592,"1412","0599",0.01903561,0.02418949,"1.9035%","2.4189%",No Exposure Class,PD Band 12,"12","12",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17593,"1413","0504",0.13369767,0.24190224,"13.3697%","24.1902%",Total QRRE,PD Band 13,"13","13",N,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17368,"1413","0504",0.14381823,0.25921536,"14.3818%","25.9215%",Total QRRE,PD Band 13,"13","13",N,,"202303","202312",N,2023-04-12-15.57.00.000000,2024-02-03-22.55.00.000000
17490,"1414","0599",0.07919726,0.09904133,"7.9197%","9.9041%",No Exposure Class,PD Band 14,"14","14",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17283,"1415","0504",0.48930936,0.60737725,"48.9309%","60.7377%",Total QRRE,PD Band 15,"15","15",N,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17494,"1415","0599",0.09904134,0.13104882,"9.9041%","13.1048%",No Exposure Class,PD Band 15,"15","15",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17709,"1416","0504",0.23992673,0.28128618,"23.9926%","28.1286%",Total QRRE,PD Band 16,"16","16",N,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
