"PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_NM","EGL_DEPRTMNT","EGL_TRNST","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS52      ,"201606","999912",Scotia Student Line - Scotia Professional Student Plan type B,"11010","00002",Y,2016-07-05-15.46.07.000000,2016-07-05-15.46.07.000000
KS79      ,"200010","999912",VISA Classic - Student Line,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS57      ,"200010","202301",VISA Classic - Corporate Credit > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS132     ,"202302","999912",VISA Value - Visa Value-No Fee - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS136     ,"200010","202301",VISA Value - Companion Card - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS97      ,"200010","202301",VISA Classic - Scene-Regular > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS12      ,"202302","999912",AMEX - Scotiabank Platinum AMEX - RE Secured >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS115     ,"200010","999912",VISA Gold - ScotiaProfessional Plan,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS68      ,"200010","999912",VISA Classic - Visa Classic-Scotia Hockey - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M07       ,"200010","999912",Mortgage BNS Genworth Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS165     ,"201504","202301",Scotiabank GM VISA Infinite Card - No Fee > $125K,"10210","00002",N,2015-05-05-11.27.25.000000,2023-03-01-00.00.01.000000
KS139     ,"202302","999912",VISA Value - Visa Value Regular >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS121     ,"202302","999912",VISA Gold - Visa Gold-Staff >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS11      ,"202302","999912",AMEX - Scotiabank Platinum AMEX >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS105     ,"202302","999912",VISA Gold - Visa Gold-No Fee >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS101     ,"200010","202301",VISA Gold - Visa Gold-BA No Fee >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS176     ,"201606","999912",Scotiabank Passport Visa Infinite - Staff - STEP,"10210","00002",Y,2017-12-07-13.35.29.000000,2017-12-07-13.35.29.000000
KS135     ,"200010","202301",VISA Value - Companion Card >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS54      ,"202302","999912",Scotia Student Line - Scotia Student Line type B  >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS17      ,"200010","999912",AMEX - Scotiabank Standard AMEX Staff,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS27      ,"200010","202301",ScotiaLine - Investment Lending > $125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS31      ,"202302","999912",ScotiaLine - IMA > $150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS108     ,"200010","999912",VISA Gold - Private Banking - RE Secured,"17510","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS113     ,"202302","999912",VISA Gold - Visa Gold-Regular >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS35      ,"202302","999912",ScotiaLine - Regular > $150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS27      ,"202302","999912",ScotiaLine - Investment Lending > $150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS71      ,"200010","999912",VISA Classic - Visa Classic-Regular,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS35      ,"200010","202301",ScotiaLine - Regular > $125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS159     ,"201504","999912",Scotiabank GM VISA Card - Regular,"10210","00002",Y,2015-05-05-11.27.25.000000,2015-05-05-11.27.25.000000
KS82      ,"200010","202301",VISA Classic - Student Line - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS168     ,"201512","999912",Scotiabank More Rewards VISA Card - Regular - RE Secured,"10210","00002",Y,2016-01-15-15.26.27.000000,2016-01-15-15.26.27.000000
M16       ,"200010","999912",Mortgage Tangerine CMHC Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS173     ,"201606","202301",Scotiabank Passport Visa Infinite - Regular>$125K,"10210","00002",N,2017-12-07-13.35.29.000000,2023-03-01-00.00.01.000000
KS166     ,"201504","202301",Scotiabank GM VISA Infinite Card - No Fee - RE Secured >$125K,"10210","00002",N,2015-05-05-11.27.25.000000,2023-03-01-00.00.01.000000
S13       ,"200010","999912",Indirect - Marine,"15110","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS53      ,"200010","201605",Scotia Student Line - Scotia Professional Student Plan type A >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2016-07-05-15.46.07.000000
M08       ,"200010","999912",Mortgage BNS Genworth Bulk Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS125     ,"202302","999912",ScotiaLine Visa - Regular >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M17       ,"200010","999912",Mortgage Tangerine CMHC Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS05      ,"200010","999912",AMEX - Scotiabank Gold AMEX Staff,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M24       ,"200010","999912",Mortgage Tangerine Guaranty Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS92      ,"200010","999912",VISA Classic - Learn-Student - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS78      ,"200010","202301",VISA Classic - Student Banking Advantage Account plan - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS49      ,"200010","202301",Scotia Student Line - Scotia Student Loan type A >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS93      ,"200010","202301",VISA Classic - Learn-Student > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS169     ,"201512","202301",Scotiabank More Rewards VISA Card - Regular > $125K,"10210","00002",N,2016-01-15-15.26.27.000000,2023-03-01-00.00.01.000000
KS54      ,"200010","202301",Scotia Student Line - Scotia Student Line type B  >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS102     ,"202302","999912",VISA Gold - Visa Gold-BA No Fee - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS77      ,"202302","999912",VISA Classic - Student Banking Advantage Account plan > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS135     ,"202302","999912",VISA Value - Companion Card >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
S08       ,"200010","999912",SPL - STEP,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS77      ,"200010","202301",VISA Classic - Student Banking Advantage Account plan > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS32      ,"200010","202301",ScotiaLine - IMA - RE Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS07      ,"200010","202301",AMEX - Scotiabank Gold AMEX Staff >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS130     ,"200010","999912",VISA Value - Visa Value-No Fee - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS39      ,"200010","202301",ScotiaLine - RRSP Catch-up > $125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS134     ,"200010","999912",VISA Value - Companion Card - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS86      ,"202302","999912",VISA Classic - Scene-Student - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS126     ,"202302","999912",ScotiaLine Visa - Regular - RE Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS69      ,"200010","202301",VISA Classic - Visa Classic-Scotia Hockey > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS84      ,"200010","999912",VISA Classic - Scene-Student - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS66      ,"200010","202301",VISA Classic - Visa Classic-No Fee - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS106     ,"200010","202301",VISA Gold - Visa Gold-No Fee - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS88      ,"200010","999912",VISA Classic - Visa Classic-Staff - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
S10       ,"200010","999912",Indirect Auto - Rate Subv.,"15110","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M30       ,"200010","999912",Mortgage Tangerine Guaranty Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS136     ,"202302","999912",VISA Value - Companion Card - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS21      ,"200010","999912",ScotiaLine - Cash Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS12      ,"200010","202301",AMEX - Scotiabank Platinum AMEX - RE Secured >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS117     ,"200010","202301",VISA Gold - ScotiaProfessional Plan >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
