"PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_NM","EGL_DEPRTMNT","EGL_TRNST","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS13      ,"200010","999912",AMEX - Scotiabank Standard AMEX,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS178     ,"202302","999912",Scotiabank Passport Visa Infinite - Staff - STEP>$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS74      ,"202302","999912",VISA Classic - Visa Classic-Regular - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M03       ,"200010","999912",Mortgage BNS Genworth Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS109     ,"200010","202301",VISA Gold - Private Banking >$125K,"17510","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M19       ,"200010","999912",Mortgage Tangerine CMHC Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS166     ,"202302","999912",Scotiabank GM VISA Infinite Card - No Fee - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS24      ,"200010","202301",ScotiaLine - Cash Secured - RE Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS08      ,"200010","202301",AMEX - Scotiabank Gold AMEX Staff - RE Secured >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M06       ,"200010","999912",Mortgage BNS Genworth Bulk Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS165     ,"202302","999912",Scotiabank GM VISA Infinite Card - No Fee > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS160     ,"201504","999912",Scotiabank GM VISA Card - Regular - RE Secured,"10210","00002",Y,2015-05-05-11.27.25.000000,2015-05-05-11.27.25.000000
M21       ,"200010","999912",Mortgage Tangerine Genworth Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS123     ,"200010","999912",ScotiaLine Visa - Regular,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS132     ,"200010","202301",VISA Value - Visa Value-No Fee - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS61      ,"202302","999912",VISA Classic - Scotia Momentum VISA-Infinite > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS58      ,"202302","999912",VISA Classic - Corporate Credit - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M11       ,"200010","999912",Mortgage BNS Genworth Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS41      ,"200010","999912",ScotiaLine - Real Estate Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS109     ,"202302","999912",VISA Gold - Private Banking >$150K,"17510","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS20      ,"202302","999912",AMEX - Scotiabank Standard AMEX Staff - RE Secured >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS128     ,"200010","202301",ScotiaLine Visa - Real Estate Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS46      ,"202302","999912",Scotia Student Line - Scotia Student Line type B  >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS140     ,"202302","999912",VISA Value - Visa Value Regular - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M26       ,"200010","999912",Mortgage Tangerine Guaranty Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS96      ,"200010","999912",VISA Classic - Scene-Regular - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS87      ,"200010","999912",VISA Classic - Visa Classic-Staff,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS140     ,"200010","202301",VISA Value - Visa Value Regular - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS46      ,"200010","202301",Scotia Student Line - Scotia Student Line type B  >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M29       ,"200010","999912",Mortgage Tangerine Guaranty Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M32       ,"200010","999912",Mortgage Tangerine Conventional Uninsured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS97      ,"202302","999912",VISA Classic - Scene-Regular > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS62      ,"202302","999912",VISA Classic - Scotia Momentum VISA-Infinite - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS93      ,"202302","999912",VISA Classic - Learn-Student > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS169     ,"202302","999912",Scotiabank More Rewards VISA Card - Regular > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M28       ,"200010","999912",Mortgage Tangerine Guaranty Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS125     ,"200010","202301",ScotiaLine Visa - Regular >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS49      ,"202302","999912",Scotia Student Line - Scotia Student Loan type A >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS78      ,"202302","999912",VISA Classic - Student Banking Advantage Account plan - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS10      ,"200010","999912",AMEX - Scotiabank Platinum AMEX - RE Secured,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS162     ,"202302","999912",Scotiabank GM VISA Card - Regular - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS37      ,"200010","999912",ScotiaLine - RRSP Catch-up,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS63      ,"200010","999912",VISA Classic - Visa Classic-No Fee,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS122     ,"200010","202301",VISA Gold - Visa Gold-Staff - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M10       ,"200010","999912",Mortgage BNS Genworth Bulk Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS01      ,"200010","999912",AMEX - Scotiabank Gold AMEX,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS172     ,"201606","999912",Scotiabank Passport Visa Infinite - Regular - STEP,"10210","00002",Y,2017-12-07-13.35.29.000000,2017-12-07-13.35.29.000000
KS32      ,"202302","999912",ScotiaLine - IMA - RE Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS31      ,"200010","202301",ScotiaLine - IMA > $125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS22      ,"200010","999912",ScotiaLine - Cash Secured - RE Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M05       ,"200010","999912",Mortgage BNS Genworth Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M12       ,"200010","999912",Mortgage BNS Genworth Bulk Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS53      ,"201606","202301",Scotia Student Line - Scotia Professional Student Plan type A >$125K,"11010","00002",N,2016-07-05-15.46.07.000000,2023-03-01-00.00.01.000000
KS53      ,"202302","999912",Scotia Student Line - Scotia Professional Student Plan type A >$150K,"11010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M01       ,"200010","999912",Mortgage BNS CMHC Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS82      ,"202302","999912",VISA Classic - Student Line - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS174     ,"201606","202301",Scotiabank Passport Visa Infinite - Regular - STEP>$125K,"10210","00002",N,2017-12-07-13.35.29.000000,2023-03-01-00.00.01.000000
KS08      ,"202302","999912",AMEX - Scotiabank Gold AMEX Staff - RE Secured >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS167     ,"201512","999912",Scotiabank More Rewards VISA Card - Regular,"10210","00002",Y,2016-01-15-15.26.27.000000,2016-01-15-15.26.27.000000
KS64      ,"200010","999912",VISA Classic - Visa Classic-No Fee - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS129     ,"200010","999912",VISA Value - Visa Value-No Fee,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
S12       ,"200010","999912",Indirect Leisure,"15110","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS66      ,"202302","999912",VISA Classic - Visa Classic-No Fee - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS90      ,"202302","999912",VISA Classic - Visa Classic-Staff - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS89      ,"202302","999912",VISA Classic - Visa Classic-Staff > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
S11       ,"200010","999912",Indirect - Home Improvement,"15110","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS171     ,"201606","999912",Scotiabank Passport Visa Infinite - Regular,"10210","00002",Y,2017-12-07-13.35.29.000000,2017-12-07-13.35.29.000000
KS75      ,"200010","999912",VISA Classic - Student Banking Advantage Account plan,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS101     ,"202302","999912",VISA Gold - Visa Gold-BA No Fee >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
S06       ,"200010","999912",Direct - RSP,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M02       ,"200010","999912",Mortgage BNS CMHC Bulk Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS07      ,"202302","999912",AMEX - Scotiabank Gold AMEX Staff >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS65      ,"202302","999912",VISA Classic - Visa Classic-No Fee > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS26      ,"200010","999912",ScotiaLine - Investment Lending - RE Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M22       ,"200010","999912",Mortgage Tangerine Genworth Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS91      ,"200010","999912",VISA Classic - Learn-Student,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS09      ,"200010","999912",AMEX - Scotiabank Platinum AMEX,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS95      ,"200010","999912",VISA Classic - Scene-Regular,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS102     ,"200010","202301",VISA Gold - Visa Gold-BA No Fee - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS43      ,"200010","999912",Scotia Student Line - Scotia Student Line type A,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS34      ,"200010","999912",ScotiaLine - Regular - RE Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS65      ,"200010","202301",VISA Classic - Visa Classic-No Fee > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS42      ,"200010","202301",ScotiaLine - Real Estate Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M25       ,"200010","999912",Mortgage Tangerine Guaranty Bulk Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
S03       ,"200010","999912",Direct  CLIP,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
M09       ,"200010","999912",Mortgage BNS Genworth Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS86      ,"200010","202301",VISA Classic - Scene-Student - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS83      ,"200010","999912",VISA Classic - Scene-Student,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS114     ,"202302","999912",VISA Gold - Visa Gold-Regular - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M18       ,"200010","999912",Mortgage Tangerine CMHC Individual Insured,"10910","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS113     ,"200010","202301",VISA Gold - Visa Gold-Regular >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS89      ,"200010","202301",VISA Classic - Visa Classic-Staff > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS90      ,"200010","202301",VISA Classic - Visa Classic-Staff - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M04       ,"200010","999912",Mortgage BNS Genworth Bulk Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS39      ,"202302","999912",ScotiaLine - RRSP Catch-up > $150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS106     ,"202302","999912",VISA Gold - Visa Gold-No Fee - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS42      ,"202302","999912",ScotiaLine - Real Estate Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS62      ,"200010","202301",VISA Classic - Scotia Momentum VISA-Infinite - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
M15       ,"200010","999912",Mortgage BNS Conventional Uninsured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS04      ,"200010","202301",AMEX - Scotiabank Gold AMEX - RE Secured >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS70      ,"202302","999912",VISA Classic - Visa Classic-Scotia Hockey - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS36      ,"202302","999912",ScotiaLine - Regular - RE Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS120     ,"200010","999912",VISA Gold - Visa Gold-Staff - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS70      ,"200010","202301",VISA Classic - Visa Classic-Scotia Hockey - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS04      ,"202302","999912",AMEX - Scotiabank Gold AMEX - RE Secured >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
S07       ,"200010","999912",Direct Unsecured - Other,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS114     ,"200010","202301",VISA Gold - Visa Gold-Regular - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS69      ,"202302","999912",VISA Classic - Visa Classic-Scotia Hockey > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
M13       ,"200010","999912",Mortgage BNS Guaranty Individual Insured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS02      ,"200010","999912",AMEX - Scotiabank Gold AMEX - RE Secured,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS117     ,"202302","999912",VISA Gold - ScotiaProfessional Plan >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS112     ,"200010","999912",VISA Gold - Visa Gold-Regular - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
S14       ,"200010","999912",Indirect Other,"15110","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS98      ,"202302","999912",VISA Classic - Scene-Regular - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS73      ,"202302","999912",VISA Classic - Visa Classic-Regular > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
