"CITY_NM","METRPL_AREA_NM","EFF_FROM_YR_MTH","PROV","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Beaumont,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Bon Accord,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Bruderheim,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Devon,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Fort Saskatchewan,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Golden Days,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Itaska Beach,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Kapasiwin,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Leduc,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Leduc County,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Legal,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Parkland County,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Point Alison,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Redwater,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Spring Lake,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Spruce Grove,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Stony Plain,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Stony Plain 135,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sturgeon County,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sundance Beach,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Wabamun,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Wabamun 133B,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Edmonton,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Boischatel,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Fossambault-sur-le-Lac,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lac-Beauport,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lac-Saint-Joseph,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Notre-Dame-des-Anges,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Augustin-de-Desmaures,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Lambert-de-Lauzon,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Brigitte-de-Laval,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Pétronille,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Wendake,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Betula Beach,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Calmar,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Gibbons,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lakeview,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Morinville,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Seba Beach,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
St. Albert,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Strathcona County,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Thorsby,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Wabamun 133A,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Warburg,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Gabriel-de-Valcartier,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
