"CITY_NM","METRPL_AREA_NM","EFF_FROM_YR_MTH","PROV","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Saint-Basile-le-Grand,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Eustache,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Jérôme,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Mathias-sur-Richelieu,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Philippe,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Zotique,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Catherine,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Thérèse,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Terrebonne,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Vaudreuil-sur-le-Lac,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Beiseker,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Crossfield,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Rocky View County,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Aurora,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Caledon,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Georgina,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Markham,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mono,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Oakville,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Pickering,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Uxbridge,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Baie-D'Urfé,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Beloeil,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Boisbriand,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Candiac,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Charlemagne,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Coteau-du-Lac,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Deux-Montagnes,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Gore,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Kahnawake,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Assomption,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Île-Dorval,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Laval,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Les Cèdres,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Léry,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mercier,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mont-Saint-Hilaire,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Montréal-Ouest,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Oka,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Pointe-Calumet,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Repentigny,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Amable,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Constant,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Isidore,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Lambert,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Mathieu,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Placide,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Anne-de-Bellevue,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Marthe-sur-le-Lac,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Terrasse-Vaudreuil,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Vaudreuil-Dorion,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Westmount,Montréal,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Calgary,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Chestermere,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Irricana,Calgary,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Ajax,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Brampton,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
East Gwillimbury,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
King,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Mississauga,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Newmarket,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Richmond Hill,Toronto,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
