"ORG_UNIT_HIERARCHY_ID","EFF_FROM_TMSTMP","TRNST_NUM","RGNL_OFFC_TRNST_NUM","DSTRCT_OFFC_TRNST_NUM","RGNL_OFFC_OU_ID","DSTRCT_OFFC_OU_ID","EFF_TO_TMSTMP","CRNT_F","RGNL_OFFC_CD","DSTRCT_OFFC_CD","TRNST_NM","RGNL_OFFC_DESC","DSTRCT_OFFC_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17575617,2011-05-11-00.00.00.000000,"11171",,"41061",-1,17575670,9999-12-31-00.00.00.000000,Y,"0    ","64                            ","VICTORIAVILLE, QUEBEC                             ",NOT APPLICABLE                            ,"PRIVATE BANKING UNITS, DFCS & OTHERS      ",2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575433,2006-10-13-00.00.00.000000,"35626","00661","12641",17580083,17578449,9999-12-31-00.00.00.000000,Y,"3    ","12                            ","COUNTY FAIR MALL, SMITH FALLS, ONTARIO            ",QUEBEC & EASTERN ONTARIO                  ,OTTAWA RIVER                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575341,2003-11-07-00.00.00.000000,"54536","32482","51896",17580325,17577655,9999-12-31-00.00.00.000000,Y,"5    ","34                            ",NT 165 UNIVERSITY AVENUE                          ,TORONTO REGION                            ,TORONTO CENTRE                            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579757,2010-11-11-00.00.00.000000,"84103","12153","51383",17577393,17580478,9999-12-31-00.00.00.000000,Y,"2    ","01                            ",PARADISE                                          ,ATLANTIC REGION                           ,NEWFOUNDLAND AND LABRADOR                 ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576747,2011-07-18-00.00.00.000000,"91652","32482","81026",17580325,17580703,9999-12-31-00.00.00.000000,Y,"5    ","31                            ","VICTORIA PK. & ELLESMERE, SCARBOROUGH             ",TORONTO REGION                            ,TORONTO EAST                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576563,2015-12-10-00.00.00.000000,"23432","32482","84228",17580325,17575673,9999-12-31-00.00.00.000000,Y,"5    ","30                            ",CAMPBELLVILLE (SUB TO MILTON) ONT.                ,TORONTO REGION                            ,GTA HALTON                                ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576471,2003-11-07-00.00.00.000000,"90712","00661","62661",17580083,17578458,9999-12-31-00.00.00.000000,Y,"3    ","13                            ","NORTH AUGUSTA, ONT.                               ",QUEBEC & EASTERN ONTARIO                  ,ST. LAWRENCE                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576563,2010-02-10-00.00.00.000000,"23432","32482","64238",17580325,17578460,2015-12-09-23.59.59.000000,N,"5    ","36                            ",CAMPBELLVILLE (SUB TO MILTON) ONT.                ,TORONTO REGION                            ,GTA WEST                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575404,2011-05-11-00.00.00.000000,"10421","00661","80861",17580083,17580700,9999-12-31-00.00.00.000000,Y,"3    ","08                            ","LAGAUCHETIERE & MANSFIELD, MONTREAL, QUE.         ",QUEBEC & EASTERN ONTARIO                  ,MONTREAL & EAST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575496,2011-05-11-00.00.00.000000,"01701","00661","60871",17580083,17580547,9999-12-31-00.00.00.000000,Y,"3    ","10                            ",C. S. P. LAVAL                                    ,QUEBEC & EASTERN ONTARIO                  ,MONTREAL & WEST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580553,2003-11-07-00.00.00.000000,"61283","12153","12393",17577393,17577650,9999-12-31-00.00.00.000000,Y,"2    ","07                            ",HALIFAX DATA CENTRE DATA PREPARATION              ,ATLANTIC REGION                           ,ATLANTIC DIRECT REPORTING UNITS           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576442,2010-05-12-00.00.00.000000,"20164","12153","20644",17577393,17580230,9999-12-31-00.00.00.000000,Y,"2    ","05                            ",FLORENCEVILLE                                     ,ATLANTIC REGION                           ,WEST NEW BRUNSWICK                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577485,2011-05-11-00.00.00.000000,"71191","00661","11106",17580083,17580156,9999-12-31-00.00.00.000000,Y,"3    ","11                            ","CENTRE-VILLE, GATINEAU, QUE.                      ",QUEBEC & EASTERN ONTARIO                  ,OTTAWA & WEST QUEBEC                      ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575277,2004-10-08-00.00.00.000000,"00984","12153","12393",17577393,17577650,9999-12-31-00.00.00.000000,Y,"2    ","07                            ",N.B. NORTHEAST & P.E.I. VPO EXPENSE               ,ATLANTIC REGION                           ,ATLANTIC DIRECT REPORTING UNITS           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575811,2011-05-11-00.00.00.000000,"12351","00661","60871",17580083,17580547,9999-12-31-00.00.00.000000,Y,"3    ","10                            ","VILLE MONT-ROYAL, MONTREAL, QUEBEC                ",QUEBEC & EASTERN ONTARIO                  ,MONTREAL & WEST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17578595,2004-10-08-00.00.00.000000,"92759","20719","32359",17580231,17577716,9999-12-31-00.00.00.000000,Y,"6    ","52                            ",SASKATCHEWAN CENTRAL ABM PROCESSING CTR           ,PRAIRIE REGION                            ,PRAIRIE DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575396,2003-11-07-00.00.00.000000,"55426","68502","44198",17577462,17578455,9999-12-31-00.00.00.000000,Y,"4    ","24                            ","NT 50 FOURTH AVE., ORANGEVILLE                    ",ONTARIO REGION                            ,ONTARIO CENTRAL SOUTH                     ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575672,2004-10-08-00.00.00.000000,"82099","20719","32359",17580231,17577716,9999-12-31-00.00.00.000000,Y,"6    ","52                            ",ALBERTA NORTH & N.W.T. V.P.O. EXPENSE             ,PRAIRIE REGION                            ,PRAIRIE DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576733,2007-05-11-00.00.00.000000,"51052","32482","04218",17580325,17578448,9999-12-31-00.00.00.000000,Y,"5    ","29                            ","THORNHILL, ONT.                                   ",TORONTO REGION                            ,GTA EAST                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575537,2006-10-13-00.00.00.000000,"95596","68502","51086",17577462,17580474,9999-12-31-00.00.00.000000,Y,"4    ","27                            ","KENWICK PLACE, SARNIA, ONTARIO                    ",ONTARIO REGION                            ,SOUTHWEST ONTARIO                         ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579315,2008-09-15-00.00.00.000000,"83030","00810","01750",17580086,17577422,9999-12-31-00.00.00.000000,Y,"7    ","55                            ","MEADOWTOWN CENTRE, PITT MEADOWS, B.C.             ",BRITISH COLUMBIA REGION                   ,S.E. B.C./CENTRAL EAST VANCOUVER          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576463,2010-03-12-00.00.00.000000,"10033","12153","31393",17577393,17580310,9999-12-31-00.00.00.000000,Y,"2    ","02                            ",TRURO                                             ,ATLANTIC REGION                           ,NORTHEAST NOVA SCOTIA                     ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575018,2003-11-07-00.00.00.000000,"70508","20719","32359",17580231,17577716,9999-12-31-00.00.00.000000,Y,"6    ","52                            ",REGINA DATA CENTRE - COMPUTER OPERATIONS          ,PRAIRIE REGION                            ,PRAIRIE DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575295,2003-11-07-00.00.00.000000,"72660","00810","01750",17580086,17577422,9999-12-31-00.00.00.000000,Y,"7    ","55                            ","NT KELOWNA, B.C.                                  ",BRITISH COLUMBIA REGION                   ,S.E. B.C./CENTRAL EAST VANCOUVER          ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576767,2007-09-17-00.00.00.000000,"60160","00810","92130",17580086,17577663,9999-12-31-00.00.00.000000,Y,"7    ","54                            ","KITIMAT, B.C.                                     ",BRITISH COLUMBIA REGION                   ,NORTH COAST & FRASER VALLEY               ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577470,2011-05-11-00.00.00.000000,"31591","00661","60871",17580083,17580547,9999-12-31-00.00.00.000000,Y,"3    ","10                            ",SUCCURSALE REGIONALE LAVAL/LAVAL MAIN             ,QUEBEC & EASTERN ONTARIO                  ,MONTREAL & WEST                           ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575194,2006-10-13-00.00.00.000000,"12716","00661","12641",17580083,17578449,9999-12-31-00.00.00.000000,Y,"3    ","12                            ","CARLING & MAITLAND, OTTAWA, ONTARIO               ",QUEBEC & EASTERN ONTARIO                  ,OTTAWA RIVER                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
