"PLN_PRD_CD","ACCT_TP_CD","EFF_FROM_YR_MTH","RGSTRD_F","EFF_TO_YR_MTH","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP","CRNT_F"
LISSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LISSB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSSSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSSSB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSSSB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIESB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIESB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIESB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RLISB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RLISB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RLISB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REI       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REI       ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REI       ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSHT     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSHT     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRI       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRI       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSHT     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RRI       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIR       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIR       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIR       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSEP     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSEP     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSEP     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSWT     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSWT     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSWT     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RDSSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RDSSB     ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RDSSB     ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSLSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSLSB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RSLSB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSNE     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSNE     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
