"TXN_CL_ID","TXN_CL_CD","TXN_CL_DESC","TXN_TP_CD","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
1006050,"431       ",TELEPHONE BILL,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005918,"299       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005826,"207       ",PR. ADJUSTMENT,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006296,"975       ",CREDIT MEMO,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006105,"714       ",COMMERCIAL RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006253,"710       ",POINT OF SALE PURCHASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006107,"716       ",COMMERCIAL AUTO MANAGEMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005964,"345       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005902,"283       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006057,"438       ",WATER BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005965,"346       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006070,"451       ",CUSTOM CHEQUES,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006187,"199       ",BACK ITEM INQUIRY FEE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006041,"422       ",CASH MGMT.,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006121,"730       ",COMMERCIAL FEE/DUES,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006026,"407       ",RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006248,"692       ",OVERDRAFT INTEREST,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006007,"388       ",TAXES,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006171,"171       ",CLOSING ENTRY,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006260,"748       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006257,"730       ",POINT OF SALE REFUND,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005913,"294       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005943,"324       ",ACCESS GRANTS,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006235,"600       ",TXN CODE : 1-600,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005969,"350       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006145,"910       ",PAYOR/PAYEE DECEASED,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006237,"651       ",ABM WITHDRAWAL,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006295,"972       ",TXN CODE : 1-972,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006203,"396       ",TXN CODE : 1-396,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006117,"726       ",COMMERCIAL WATER BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005933,"314       ",FAMILY ALLOWANCES,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006036,"417       ",RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006142,"907       ",NO CHEQUING PRIVILEGES,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006147,"912       ",INVALID/INCORRECT ACCOUNT NO.,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005885,"266       ",REG EDUCATION SAV PLAN,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006069,"450       ",MISC. PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005831,"212       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006288,"954       ",NON-REDEEMABLE GIC INTEREST,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005920,"301       ",AGRI STABILIZATION,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006270,"892       ",PRE-AUTHORIZED DEBIT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
