"SOURCE_SYSTEM_CODE","BASEL_MORTGAGE_INSURER_GROUP_DES","BULK_INDICATOR","BASEL_PRODUCT_CODE","BASEL_PRODUCT_TYPE_CODE","ASSET_CLASS_NUMBER","ASSET_CLASS_DESCRIPTION","PRODUCT_ID","PORTFOLIO_NAME","PRODUCT_NAME","SUB_PRODUCT_NAME","BASEL_SUB_PRODUCT_NAME","BCAR_SCHEDULE_NUMBER","NCR_EXPOSURE_CLASS_KEY_VALUE","CCAR_BASEL_PRODUCT_TYPE_NAME","CCAR_SHORT_NAME","CURRENCY_OF_ACCOUNT","BASEL_PRODUCT","BASEL_PROD_ABBR","SECURITY_TYPE","PD_BAND_EXPOSURE_CLASS_KEY_VALUE","PD_BAND_EXPOSURE_CLASS_DESCRIPTI","NCR_EXPOSURE_CLASS_DESCRIPTION"
TNG-MOR,Canada Mortgage and Housing Corporation,Y,MTG TNG,CMHC B,1,Real Estate Secured,M17,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine CMHC Bulk Insured,30,"0510",CMHC_B_TNG,CMHCBTNG,CAD,TNG CMHC Bulk Insured,TNG CMHC BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,CMHC Block,N,MTG TNG,CMHC I,1,Real Estate Secured,M18,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine CMHC Individual Insured,30,"0510",CMHC_I_TNG,CMHCITNG,CAD,TNG CMHC Individual Insured,TNG CMHC INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,CMHC Block,Y,MTG TNG,CMHC B,1,Real Estate Secured,M19,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine CMHC Bulk Insured,30,"0510",CMHC_B_TNG,CMHCBTNG,CAD,TNG CMHC Bulk Insured,TNG CMHC BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,GE Capital,N,MTG TNG,GENWORTH I,1,Real Estate Secured,M20,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Genworth Individual Insured,30,"0511",GENW_I_TNG,GEITNG,CAD,TNG GENWORTH Individual Insured,TNG GENWORTH INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,GE Capital,Y,MTG TNG,GENWORTH B,1,Real Estate Secured,M21,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Genworth Bulk Insured,30,"0511",GENW_B_TNG,GEBTNG,CAD,TNG GENWORTH Bulk Insured,TNG GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,GE Bulk Ins,N,MTG TNG,GENWORTH I,1,Real Estate Secured,M22,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Genworth Individual Insured,30,"0511",GENW_I_TNG,GEITNG,CAD,TNG GENWORTH Individual Insured,TNG GENWORTH INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,GE Bulk Ins,Y,MTG TNG,GENWORTH B,1,Real Estate Secured,M23,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Genworth Bulk Insured,30,"0511",GENW_B_TNG,GEBTNG,CAD,TNG GENWORTH Bulk Insured,TNG GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,Canada Guaranty,N,MTG TNG,GUARANTY I,1,Real Estate Secured,M24,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Individual Insured,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY Individual Insured,TNG GUARANTY INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,Canada Guaranty,Y,MTG TNG,GUARANTY B,1,Real Estate Secured,M25,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Bulk Insured,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY Bulk Insured,TNG GUARANTY BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,MICC,N,MTG TNG,GUARANTY I,1,Real Estate Secured,M26,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Individual Insured,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY Individual Insured,TNG GUARANTY INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,MICC,Y,MTG TNG,GUARANTY B,1,Real Estate Secured,M27,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Bulk Insured,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY Bulk Insured,TNG GUARANTY BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,AIG Insurance,N,MTG TNG,GUARANTY I,1,Real Estate Secured,M28,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Individual Insured,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY Individual Insured,TNG GUARANTY INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,AIG Insurance,Y,MTG TNG,GUARANTY B,1,Real Estate Secured,M29,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Bulk Insured,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY Bulk Insured,TNG GUARANTY BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,Magic Insurance,N,MTG TNG,GUARANTY I,1,Real Estate Secured,M30,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Individual Insured,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY Individual Insured,TNG GUARANTY INDIVIDUAL,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,Magic Insurance,Y,MTG TNG,GUARANTY B,1,Real Estate Secured,M31,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Guaranty Bulk Insured,30,"0511",GUAR_B_TNG,GCBTNG,CAD,TNG GUARANTY Bulk Insured,TNG GUARANTY BULK,Insured,"0502",Mortgages,Residential Real Estate
TNG-MOR,Conventional,N,MTG TNG,CONV U,1,Real Estate Secured,M32,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Conventional Uninsured,30,"0512",CONV_U_TNG,CONVUTNG,CAD,TNG CONVENTIONAL Uninsured,TNG CONV UNINS.,Uninsured,"0502",Mortgages,Residential Real Estate
TNG-MOR,Conventional,Y,MTG TNG,GENWORTH B,1,Real Estate Secured,M33,Consumer,Mortgage (MTG),Mortgage Tangerine (TNG),Mortgage Tangerine Genworth Bulk Insured,30,"0511",GENW_B_TNG,GEBTNG,CAD,TNG GENWORTH Bulk Insured,TNG GENWORTH BULK,Insured,"0502",Mortgages,Residential Real Estate
