"SCRTY_CD","EFF_FROM_YR_MTH","SCRTY_DESC","TP","PRD","SUB_PRD","STEP_F","BASEL_PRD","BASEL_SUB_PRD","BASEL_PROD_ABR","PRD_ID","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
87,"200001",MOTORCYCLE,INDIRECT  ,LEISURE,REGULAR,,INDIRECT OTHER,INDIRECT LEISURE,INDIRECT LEISURE,S12       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
19,"200001",AUTO,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
48,"200001",TRAVEL TRAILER,INDIRECT  ,RV,REGULAR,,INDIRECT OTHER,INDIRECT RV,INDIRECT RV,S15       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
140,"200001",REAL ESTATE,DIRECT    ,SECURED,REAL ESTATE,N,DIRECT SECURED,DIRECT REAL ESTATE,DIRECT REAL ESTATE,S05       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
6,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
86,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
340,"200001",REDEEMABLE GICS,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
60,"200001",COMBINATION,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
138,"200001",SWIMMING POOL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
255,"200001",LIFE INS. CASH SURRENDER VALUE,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
9,"200001",SIGNATURE,DIRECT    ,UNSECURED,UNSECURED OTHER,N,DIRECT UNSECURED,DIRECT UNSECURED OTHER,DIRECT UNSECURED OTHER,S07       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
18,"200001",AUTO,DIRECT    ,SECURED,AUTO,N,DIRECT SECURED,DIRECT AUTO,DIRECT AUTO,S01       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
