"SCRTY_CD","EFF_FROM_YR_MTH","SCRTY_DESC","TP","PRD","SUB_PRD","STEP_F","BASEL_PRD","BASEL_SUB_PRD","BASEL_PROD_ABR","PRD_ID","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
141,"200001",REAL ESTATE,DIRECT    ,SECURED,REAL ESTATE,N,DIRECT SECURED,DIRECT REAL ESTATE,DIRECT REAL ESTATE,S05       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
100,"200001",MOTOR HOME,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
252,"200001",FEDERAL / PROVINCIAL BONDS,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
808,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
38,"200001",FURNITURE,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
207,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
33,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
51,"200001",MARINE,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
137,"200001",SWIMMING POOL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
13,"200001",HEAT PUMP,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
221,"200001",SAILBOAT,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
117,"200001",SNOWMOBILE,INDIRECT  ,LEISURE,REGULAR,,INDIRECT OTHER,INDIRECT LEISURE,INDIRECT LEISURE,S12       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
3,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
917,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
26,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
107,"200001",MOTOR HOME,INDIRECT  ,RV,REGULAR,,INDIRECT OTHER,INDIRECT RV,INDIRECT RV,S15       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
28,"200001",AUTO,INDIRECT  ,AUTO,REGULAR,,INDIRECT AUTO,INDIRECT AUTO - REGULAR,INDIRECT AUTO - REGULAR,S09       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
212,"200001",OTHER RECREATIONAL VEHICLE,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
66,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
21,"200001",AUTO,DIRECT    ,SECURED,AUTO,N,DIRECT SECURED,DIRECT AUTO,DIRECT AUTO,S01       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
41,"200001",TRAVEL TRAILER,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
108,"200001",MOTOR HOME,INDIRECT  ,RV,REGULAR,,INDIRECT OTHER,INDIRECT RV,INDIRECT RV,S15       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
40,"200001",TRAVEL TRAILER,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
488,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
256,"200001",SSI T-BILLS MNYMKTMUTUALFUND,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
80,"200001",MOTORCYCLE,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
