"DLVY_KEY","TXN_GRP_KEY","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
41200,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
25100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
42900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
49800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
4100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
26300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
48700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
72900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
75200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
32100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
8900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
37100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
4200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62200,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
20800,P,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
50800,O,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
47400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
1300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
29700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
59200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
6100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
16800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
29200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
41800,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
72300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
43400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
45600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
40000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
37300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
7400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
40600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
19200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
58300,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
23600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
30500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
17700,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
17200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
25300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
50500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
22700,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
