"ORG_UNIT_ID","ORG_UNIT_LVL","TRNST_NUM","ORG_UNIT_NM","CITY","CLS_DT","OPN_DT","PH_NUM","POSTAL_ZIP_CD","PROV_STATE","STRT_ADDR","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17579601,Transit        ,"18226","MAJOR MACKENZIE & WESTON, VAUGHAN, ON             ",VAUGHAN           ,,,                                        ,L4H 0A2,ONTARIO           ,"3661 MAJOR MACKENZIE DRIVE WEST           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579674,,"44933",DOMESTIC HR - ADJUSTMENT                          ,TORONTO           ,,,                                        ,M5C 2T6,ONTARIO           ,"20 ADELAIDE STREET EAST, 7TH FLOOR        ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579474,Transit        ,"17996",VAL CARON                                         ,VAL CARON         ,,,                                        ,P3N 1R8,ONTARIO           ,"3080 HWY 69 NORTH, UNIT #3                ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575594,Transit        ,"60111","GRENVILLE, QUE.                                   ",GRENVILLE         ,,,                                        ,J0V 1J0,QUEBEC            ,"P.O. BOX 70,                              ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575039,,"31385",SBPR BAYAMON - PARADAISE PLAZA BRANCH             ,SAN JUAN          ,,,                                        ,"00936  ",PUERTO RICO       ,P.O. BOX 362230                           ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
35332005,Transit        ,"58008",FLATROCK TRUST CONSOLIDATION                      ,TORONTO           ,,,                                        ,M5V 2T3,ONTARIO           ,"720 KING STREET WEST, 2ND FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
65684001,,"13557",DIVERSIFIED CENTRAL EXPENSES                      ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 24TH FLOOR           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17576846,Transit        ,"71092",BATHURST & DUNDAS                                 ,TORONTO           ,,,                                        ,M5T 2S7,ONTARIO           ,"347-351 BATHURST STREET                   ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579234,,"24885","WINSTON CHURCHILL, BLDG. ADMIN, D.R.              ",******************,,,                                        ,       ,DOMINICAN REPUBLIC,                                          ,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196357,,"04785",SCOTIA GBS COLOMBIA (GAAP)                        ,BOGOTA            ,,,                                        ,       ,UNITED STATES     ,                                          ,2018-02-07-22.46.39.000000,2023-12-07-21.15.31.000000
17576777,Transit        ,"40782","PENETANGUISHENE, ONT.                             ",PENETANGUISHENE   ,,,                                        ,L9M 1L7,ONTARIO           ,"135 MAIN ST. AT JEFFREY ST.               ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575155,,"61150",MT INTEGRATION - B. C.                            ,VANCOUVER         ,,,                                        ,V6B 4N7,BRITISH COLUMBIA  ,"650 W GEORGIA ST, 34TH FLOOR              ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196924,,"19596",RETAIL BUSINESS LINE - FHSA                       ,MISSISSAUGA       ,,,                                        ,L4W 0B4,ONTARIO           ,                                          ,2022-06-07-16.07.48.000000,2023-12-07-21.15.31.000000
91196724,,"29496",AMEX INSTALMENT CREDIT CARD                       ,TORONTO           ,,,                                        ,M5C 2W1,                  ,                                          ,2020-06-15-16.22.46.000000,2023-12-07-21.15.31.000000
17579864,Transit        ,"25163",BANK ONLY - TRANSPORTACTION - ADJUSTMENT          ,TORONTO           ,,,                                        ,M5C 2W1,ONTARIO           ,"SUITE 505, 100 YONGE STREET               ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17580006,Transit        ,"91629",WINDERMERE                                        ,EDMONTON          ,,,                                        ,T6W 0L9,ALBERTA           ,"5188 - WINDERMERE BOULEVARD NW            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196971,,"16204",ACCT TRANSFERS FEE BASED OPS                      ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,                                          ,2022-11-05-05.18.58.000000,2023-12-07-21.15.31.000000
17575214,Transit        ,"84046",ALTA VISTA STUDENT LOAN CENTRE                    ,OTTAWA            ,,,                                        ,K1V 7T4,ONTARIO           ,"2686 ALTA VISTA DRIVE                     ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579841,Transit        ,"93179",ONBOARDING MANAGEMENT PORTAL                      ,MISSISSAUGA       ,,,                                        ,L4W 0B4,ONTARIO           ,"4715 TAHOE BOULEVARD                      ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17578077,,"02808",NT-SECURITIES OPERATION(NON-RESTRUCTURING)        ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"EXECUTIVE OFFICE, 44 KING STREET WEST     ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
85909015,,"05505",SIDAC ADJUSTMENT (GT)                             ,                  ,,,                                        ,       ,UNITED STATES     ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
73242011,,"92734",E.O. COMPTROLLERS ADMINISTERED                    ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,"40 KING STREET WEST, 9TH FLOOR            ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
91196912,,"96024",RESERVED TRANSIT                                  ,TORONTO           ,,,                                        ,       ,ONTARIO           ,                                          ,2022-06-07-16.07.48.000000,2023-12-07-21.15.31.000000
17576222,,"43505",RG PREMIER BANK                                   ,SAN JUAN          ,,,                                        ,"0093622",PUERTO RICO       ,"273 PONCE DE LEON AVENUE, PO BOX 362230   ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17575217,Transit        ,"01024",KING & GERMAIN                                    ,SAINT JOHN        ,,,                                        ,E2L 4R5,NEW BRUNSWICK     ,"P.O. BOX 6040, STATION A, 53 KING STREET  ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
78005023,,"49346",AC BASED ALLOCATION                               ,TORONTO           ,,,                                        ,M5H 1H1,ONTARIO           ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
17579782,,"00925",TRANSAMERICA - HISTORY TO NOV/08                  ,                  ,,,                                        ,       ,COSTA RICA        ,******************************************,2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
78363008,,"07045",GWO KOREA                                         ,SEOUL             ,,,                                        ,       ,REPUBLIC OF KOREA ,"16TH FLOOR, DONG-A MEDIA CENTER           ",2017-07-13-11.53.37.000000,2023-12-07-21.15.31.000000
