"SOURCE_SYSTEM_CODE","BASEL_MORTGAGE_INSURER_GROUP_DES","BULK_INDICATOR","BASEL_PRODUCT_CODE","BASEL_PRODUCT_TYPE_CODE","ASSET_CLASS_NUMBER","ASSET_CLASS_DESCRIPTION","PRODUCT_ID","PORTFOLIO_NAME","PRODUCT_NAME","SUB_PRODUCT_NAME","BASEL_SUB_PRODUCT_NAME","BCAR_SCHEDULE_NUMBER","NCR_EXPOSURE_CLASS_KEY_VALUE","CCAR_BASEL_PRODUCT_TYPE_NAME","CCAR_SHORT_NAME","CURRENCY_OF_ACCOUNT","BASEL_PRODUCT","BASEL_PROD_ABBR","SECURITY_TYPE","PD_BAND_EXPOSURE_CLASS_KEY_VALUE","PD_BAND_EXPOSURE_CLASS_DESCRIPTI","NCR_EXPOSURE_CLASS_DESCRIPTION","DT4_RISK_RT_KEY_VAL","DT4_EXPSR_CL_KEY_VAL","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
TNG-MOR,MAGIC INSURANCE,N,MTG TNG,GUARANTY I,1,REAL ESTATE SECURED,M30,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY INDIVIDUAL INSURED,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY INDIVIDUAL INSURED,TNG GUARANTY INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GEMICO(NO DOWN),N,MTG BNS,GENWORTH I,1,REAL ESTATE SECURED,M11,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH INDIVIDUAL INSURED,BNS GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GUARANTY,N,MTG BNS,GUARANTY I,1,REAL ESTATE SECURED,M13,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GUARANTY INDIVIDUAL INSURED,30,"0511",GUAR_I_BNS,GCIBNS,CAD,BNS GUARANTY INDIVIDUAL INSURED,BNS GUARANTY INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GUARANTY,Y,MTG BNS,GUARANTY B,1,REAL ESTATE SECURED,M14,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GUARANTY BULK INSURED,30,"0511",GUAR_B_BNS,GCBBNS,CAD,BNS GUARANTY BULK INSURED,BNS GUARANTY BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,CMHC BLOCK,N,MTG TNG,CMHC I,1,REAL ESTATE SECURED,M18,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE CMHC INDIVIDUAL INSURED,30,"0510",CMHC_I_TNG,CMHCITNG,CAD,TNG CMHC INDIVIDUAL INSURED,TNG CMHC INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,GE CAPITAL,N,MTG TNG,GENWORTH I,1,REAL ESTATE SECURED,M20,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_TNG,GEITNG,CAD,TNG GENWORTH INDIVIDUAL INSURED,TNG GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,CMHC,N,MTG BNS,CMHC I,1,REAL ESTATE SECURED,M01,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS CMHC INDIVIDUAL INSURED,30,"0510",CMHC_I_BNS,CMHCIBNS,CAD,BNS CMHC INDIVIDUAL INSURED,BNS CMHC INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GEM SPEC,Y,MTG BNS,GENWORTH B,1,REAL ESTATE SECURED,M06,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH BULK INSURED,30,"0511",GENW_B_BNS,GEBBNS,CAD,BNS GENWORTH BULK INSURED,BNS GENWORTH BULK,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
TNG-MOR,AIG INSURANCE,N,MTG TNG,GUARANTY I,1,REAL ESTATE SECURED,M28,CONSUMER,MORTGAGE (MTG),MORTGAGE TANGERINE (TNG),MORTGAGE TANGERINE GUARANTY INDIVIDUAL INSURED,30,"0511",GUAR_I_TNG,GCITNG,CAD,TNG GUARANTY INDIVIDUAL INSURED,TNG GUARANTY INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0212","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
MOR,GEM SPEC,N,MTG BNS,GENWORTH I,1,REAL ESTATE SECURED,M05,CONSUMER,MORTGAGE (MTG),MORTGAGE BNS,MORTGAGE BNS GENWORTH INDIVIDUAL INSURED,30,"0511",GENW_I_BNS,GEIBNS,CAD,BNS GENWORTH INDIVIDUAL INSURED,BNS GENWORTH INDIVIDUAL,INSURED,"0502",MORTGAGES,RESIDENTIAL REAL ESTATE,"0211","5501","200010","999912",Y,2021-10-29-14.03.00.000000,2021-10-29-14.03.00.000000
