"COLLATERAL_TYPE","H_C","LGD_S","LGD_U","H_E","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Financial,0.000000,0.000000,0.300000,0.000000,"202302","999912",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
Other Physical,0.400000,0.150000,0.300000,0.000000,"202302","999912",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
