"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17005,"1400","0504",-1.00000000,-1.00000000,,,Total QRRE,Total PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17011,"1400","0512",,,,,Residential Mortgage - Non-Insured,Total PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17342,"1401","0599",0.00050000,0.00050000,"0.05%","0.05%",No Exposure Class,PD Band 1,"1","1","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17026,"1402","0501",,,,,Mortgage and HELOC,PD Band 2,"2","2","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17349,"1403","0503",0.00160000,0.00710000,"0.16%","0.71%",HELOC,PD Band 3,"3","3","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17056,"1404","0507",0.00330000,0.00840000,"0.3300%","0.8400%",Other Retail,PD Band 4,"4","4","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17482,"1405","0503",0.11880000,0.99790000,"11.88%","99.79%",HELOC,PD Band 5,"5","5","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17070,"1405","0511",,,,,Residential Mortgage - Other Insured,PD Band 5,"5","5","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17076,"1406","0503",0.10460000,0.27130000,"10.4600%","27.1300%",HELOC,PD Band 6,"6","6","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17078,"1406","0505",,,,,Credit Card,PD Band 6,"6","6","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17080,"1406","0507",0.00930000,0.01120000,"0.9300%","1.1200%",Other Retail,PD Band 6,"6","6","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17082,"1406","0511",,,,,Residential Mortgage - Other Insured,PD Band 6,"6","6","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17490,"1406","0599",0.00250000,0.00460000,"0.25%","0.46%",No Exposure Class,PD Band 6,"6","6","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17367,"1406","0599",0.00350000,0.00640000,"0.35%","0.64%",No Exposure Class,PD Band 6,"6","6","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17370,"1407","0504",0.02360000,0.02710000,"2.36%","2.71%",Total QRRE,PD Band 7,"7","7","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17096,"1407","0599",0.00930000,0.01120000,"0.9300%","1.1200%",No Exposure Class,PD Band 7,"7","7","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
