"PRD_SYS_CD","SRC_PRD_CD","SRC_SUB_PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","BASEL_PRD_CD","BASEL_PRD_DESC","PRD_DESC","LTV_TP_CD","SML_BUS_F","CONSM_SCORECRD_EXCLSN_F","CONSM_PRD_TREATMNT_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS   ,BLV       ,CV        ,"200001","999912",LOC       ,Line Of Credit,Business Line - Commercial,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,RG        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,LOC       ,FD        ,"200001","999912",SL        ,Student Loan,Goverment Student Loans,VISA      ,N,Y,S         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VUS       ,RG        ,"201411","999912",CC        ,Credit Card,USD Dollar Visa,VISA      ,N,Y,S         ,Y,2014-12-12-14.55.04.000000,2014-12-12-14.55.04.000000
KS   ,AXS       ,SC        ,"200001","999912",CC        ,Credit Card,Scotia AMEX Standard,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VCL       ,DM        ,"200001","999912",CC        ,Credit Card,Moneyback VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VLR       ,NF        ,"200001","999912",CC        ,Credit Card,Value VISA,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,SCL       ,RL        ,"200001","999912",LOC       ,Line Of Credit,Scotia Line (including Scotia Student Line),LOC       ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,AXP       ,PC        ,"200001","999912",CC        ,Credit Card,Scotia AMEX Platinum,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,SSL       ,SP        ,"200001","999912",SL        ,Student Loan,Scotia Professional Student Plan,LOC       ,N,Y,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VGD       ,PB        ,"200001","999912",CC        ,Credit Card,VISA Gold/Passport,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VGD       ,SP        ,"200001","999912",CC        ,Credit Card,VISA Gold/Passport,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,AXS       ,SS        ,"200001","999912",CC        ,Credit Card,Scotia AMEX Standard,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,BLV       ,AGI       ,"200001","999912",LOC       ,Line Of Credit,Business Line Visa - Agr,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VGD       ,ST        ,"200001","999912",CC        ,Credit Card,VISA Gold/Passport,VISA      ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VIC       ,RS        ,"200001","999912",LOC       ,Line Of Credit,Scotia Line VISA,LOC       ,N,N,A         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,BLV       ,YY        ,"200001","999912",LOC       ,Line Of Credit,Business Line Visa - ScotiaGold,VISA      ,Y,Y,Z         ,Y,2014-07-11-17.34.36.000000,2014-07-11-17.34.36.000000
KS   ,VFA       ,A3        ,"201511","999912",CC        ,Credit Card,Scotiabank More Rewards VISA Card,VISA      ,N,N,A         ,Y,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
KS   ,VFB       ,B1        ,"201707","999912",CC        ,Credit Card,GM Small Business Visa,VISA      ,Y,Y,Z         ,Y,2017-08-25-10.26.21.000000,2017-08-25-10.26.21.000000
KS   ,VFF       ,TR        ,"201710","999912",CC        ,Credit Card,Scotiabank Passport Visa Infinite,VISA      ,N,N,A         ,Y,2017-12-07-13.17.36.000000,2017-12-07-13.17.36.000000
KS   ,VFF       ,TS        ,"201710","999912",CC        ,Credit Card,Scotiabank Passport Visa Infinite,VISA      ,N,N,A         ,Y,2017-12-07-13.17.36.000000,2017-12-07-13.17.36.000000
KS   ,BLV       ,HHB,"202312","999912",CC,Credit Card,Business Line Visa - Home Hardware,VISA      ,Y,Y,Z         ,Y,2024-11-20-15.27.48.000000,2024-11-20-15.27.48.000000
