bin,Detail Score Name,OperatorLower,RangeLower,OperatorUpper,RangeUpper
1,STEP_BNS_DLQNT_DAY_GP_KSA_AVG24M,<=,120.6,,
2,STEP_BNS_DLQNT_DAY_GP_KSA_AVG24M,>,120.6,,
1,STEP_BNS_DLQNT_DAY_GP_KSA_AVG24M,=,Missing/NULL,,
2,STEP_MONTH_DEF_SINCE_LAST_DEF,>,36,,
1,STEP_MONTH_DEF_SINCE_LAST_DEF,<=,36,,
1,STEP_MONTH_DEF_SINCE_LAST_DEF,=,Missing/NULL,,
