bin,Detail Score Name,OperatorLower,RangeLower,OperatorUpper,RangeUpper
1,HGST_DLQNT_DAY_MTG_MAX24M_ACCT,<=,273.5,,
2,HGST_DLQNT_DAY_MTG_MAX24M_ACCT,>,273.5,,
1,HGST_DLQNT_DAY_MTG_MAX24M_ACCT,=,Missing/NULL,,
2,STEP_STANDALONE_MONTH_DEF_SINCE_LAST_DEF,>,36,,
1,STEP_STANDALONE_MONTH_DEF_SINCE_LAST_DEF,<=,36,,
1,STEP_STANDALONE_MONTH_DEF_SINCE_LAST_DEF,=,Missing/NULL,,
1,INSURANCE_F,=,Insured,,
2,INSURANCE_F,=,uninsured,,
3,INSURANCE_F,=,BULK,,
