Description,CALC_SCORE_LOWER,CALC_SCORE_UPPER,PIT_STATUS_CROSS_DEFAULT_ORIG,CONSM_SCORECRD_EXCLSN_F,CONSM_PRD_TREATMNT_CD,HELOC_F,MONTH_DEF_24M,Output
<=622,,<=622,DEF,N,A,,<24,1
"(622, 679]",>622,<=679,DEF,N,A,,<24,2
"(679, 746]",>679,<=746,DEF,N,A,,<24,3
"(746, 1001]",>746,<=1001,DEF,N,A,,<24,4
"Accounts defaulted for 24 months or more",,<=1001,DEF,N,A,N,>23,90
Special Segment,,,DEF,Y,A,N,,98
