Description,CALC_SCORE_LOWER,CALC_SCORE_UPPER,PIT_STATUS_CROSS_DEFAULT_ORIG,HELOC_F,CONSM_PRD_TREATMNT_CD,CONSM_SCORECRD_EXCLSN_F,Output
Special Segment,,,CUR,Y,A,Y,98
<= 278,,<= 278,CUR,,A,N,1
"[279, 387]",>=279,<=387,CUR,,A,N,2
>= 388,>= 388,,CUR,,A,N,3
