Description,CALC_SCORE_LOWER,CALC_SCORE_UPPER,PIT_STATUS_CROSS_DEFAULT_ORIG,CONSM_SCORECRD_EXCLSN_F,CONSM_PRD_TREATMNT_CD,HELOC_F,Output
>=850,>=850,,CUR,N,A,,1
"[814,849]",>=814,<=849,CUR,N,A,,2
"[778,813]",>=778,<=813,CUR,N,A,,3
"[746,777]",>=746,<=777,CUR,N,A,,4
"[718, 745]",>=718,<=745,CUR,N,A,,5
"[670,717]",>=670,<=717,CUR,N,A,,6
"[644, 669]",>=644,<=669,CUR,N,A,,7
<=643,,<=643,CUR,N,A,,8
Special Segment,,,CUR,Y,A,Y,98
DEF,,,DEF,,A,Y,99
