"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_SHT_NM","EXPSR_SUB_TP_CD","BASEL_1_ASST_TP_CD","REGULATORY_PRD_TP_CD","PD_BAND_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
GUAR_B_BNS_04_01_10,"201604","999912",GUARBBNS040110                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_05_01_11,"201604","999912",GUARBBNS050111                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_05_01_12,"201604","999912",GUARBBNS050112                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_05_01_13,"201604","999912",GUARBBNS050113                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_06_01_09,"201604","999912",GUARBBNS060109                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_01_01_02,"201604","999912",DTLUNSEC010102                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_01_01_06,"201604","999912",DTLUNSEC010106                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_05_01_12,"201604","999912",GENWBBNS050112                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_05_01_13,"201604","999912",GENWBBNS050113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_06_01_09,"201604","999912",GENWBBNS060109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_04_01_07,"201604","999912",GUARBTNG040107                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_04_01_08,"201604","999912",GUARBTNG040108                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_05_01_09,"201604","999912",GUARBTNG050109                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_05_01_10,"201604","999912",GUARBTNG050110                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_06_01_07,"201604","999912",GUARBTNG060107                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_06_01_08,"201604","999912",GUARBTNG060108                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_06_01_09,"201604","999912",GUARBTNG060109                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_TNG_07_01_08,"201604","999912",GUARBTNG070108                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_02_01_06,"201604","999912",GENWITNG020106                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_03_01_04,"201604","999912",GENWITNG030104                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_03_01_06,"201604","999912",GENWITNG030106                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_I_TNG_04_01_04,"201604","999912",GENWITNG040104                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
