"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_SHT_NM","EXPSR_SUB_TP_CD","BASEL_1_ASST_TP_CD","REGULATORY_PRD_TP_CD","PD_BAND_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
GENW_B_TNG_01_01_07,"201604","999912",GENWBTNG010107                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_01_01_08,"201604","999912",DTLUNSEC010108                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_02_01_01,"201604","999912",DTLUNSEC020101                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_02_01_05,"201604","999912",DTLUNSEC020105                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_02_01_07,"201604","999912",DTLUNSEC020107                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_03_01_04,"201604","999912",DTLUNSEC030104                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
DTL_UNSEC_03_01_06,"201604","999912",DTLUNSEC030106                          ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_01_01_11,"201604","999912",GUARBBNS010111                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_01_01_12,"201604","999912",GUARBBNS010112                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_02_01_09,"201604","999912",GUARBBNS020109                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GUAR_B_BNS_02_01_11,"201604","999912",GUARBBNS020111                          ,Residential Mortgage Exposures                    ,GC                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
